site abbrev.,site name,state,morph,locality,latitude,longitude,,,,,,,
ABQ,Albuquerque,NM,ABQ_EN_S,UNMDS,35.09536,-106.62416,,,,,,,
BOU,Boulder-Golden,CO,BOU_EN_C,N Table Mtn,39.78085,-105.22912,,,,,,,
BOU,Boulder-Golden,CO,BOU_EN_S,Walden Ponds,40.045617,-105.18797,,,,,,,
BRG,Bridger Bend,MT,BRG_EN_F,,45.10177,-109.02844,,,,,,,
DRY,Dry Gulch,CO,DRY_EN_N,,38.12602,-106.23293,,,,,,,
GUN,Gunnison,CO,GUN_EN_F,,38.50538,-106.71027,,,,,,,
LIM,Limberger Dam,MT,LIM_EN_F,,45.08001,-109.12076,,,,,,,
LOG,Logan,UT,LOG_EN_S,,41.743491,-111.78895,,,,,,,
MAL,El Malpais Cibola NF,NM,MAL_EN_C,,35.00059,-108.04666,,,,,,,
MAL,El Malpais Cibola NF,NM,MAL_EN_M,Narrows,34.96499,-107.81464,,,,,,,
MAL,El Malpais Cibola NF,NM,MAL_EN_N,,34.9655,-107.91331,,,,,,,
MEE,,MT,MEE_EN_F,,45.12539,-109.22977,,,,,,,
MOB,Moab-Arches area,UT,MOB_EN_C,Hole in Rock,38.39446,-109.45325,,,,,,,
MOB,Moab-Arches area,UT,MOB_EN_G,Kane Springs,38.52176,-109.60256,,,,,,,
MOB,Moab-Arches area,UT,MOB_EN_S,Arches,38.61037,-109.60689,,,,,,,
MTB,Montana,MT,MTB_EN_F,MT 01,45.12539,-109.22977,,,,,,,
PAS,Pass Creek,CO,PAS_EN_X,,38.52329,-106.11495,,,,,,,
REN,Reno,NV,REN_EN_C,,39.3146679,-119.82678,,,,,,,
REN,Reno,NV,REN_EN_HC,,39.3151731,-119.824437,,,,,,,
REN,Reno,NV,REN_EN_S,,39.315578,-119.82503,,,,,,,
REN,Reno,NV,REN_EN_HS,,39.3151731,-119.824437,,,,,,,
RGG,Rio Grande Gorge,NM,RGG_EN_C,,36.2859917,-105.78643,,,,,,,
RGG,Rio Grande Gorge,NM,RGG_EN_S,,36.2859917,-105.78643,,,,,,,
SLV,San Luis Valley,CO,SLV_EN_F,Coffeeberry,37.58577,-105.82196,,,,,,,
SLV,San Luis Valley,CO,SLV_EN_M,Coffeeberry,37.58577,-105.82196,,,,,,,
SLV,San Luis Valley,CO,SLV_EN_O,Coffeeberry,37.58577,-105.82196,,,,,,,
SNM,Southern New Mexico,NM,SNM_EN_C,Pie Town,34.28297,-108.06221,,,,,,,
SNM,Southern New Mexico,NM,SNM_EN_M,VLA,34.10403,-107.62143,,,,,,,
SNM,Southern New Mexico,NM,SNM_EN_S,Magdalena,34.11441,-107.25142,,,,,,,
TES,Tesuque-Chimayo-Nambe area,NM,TES_EN_C,Chimayo,35.95926,-105.9363,,,,,,,
TES,Tesuque-Chimayo-Nambe area,NM,TES_EN_M,Tesuque,35.7798832,-105.93569,,,,,,,
TES,Tesuque-Chimayo-Nambe area,NM,TES_EN_N,Nambe,35.92706,-105.96529,,,,,,,
TES,Tesuque-Chimayo-Nambe area,NM,TES_EN_S,Tesuque,35.7771713,-105.92912,,,,,,,
TRE,Tres Piedras,CO,TRE_EN_F,,36.64274,-105.95184,,,,,,,
TRQ,Turquoise Gulch,CO,TRQ_EN_F,,38.31099,-105.99664,,,,,,,
EUR,"""Eurytoma"" - not a site, these are wasps",,,,,,,,,,,,